[22:12:44.887] [DEBUG] | o.s.w.c.s.GenericWebApplicationContext | Refreshing org.springframework.web.context.support.GenericWebApplicationContext@180fa85a
[22:12:53.591] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerAdapter | ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
[22:12:53.708] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | 15 mappings in 'requestMappingHandlerMapping'
[22:12:53.791] [DEBUG] | o.s.w.s.h.SimpleUrlHandlerMapping | Patterns [/webjars/**, /**] in 'resourceHandlerMapping'
[22:12:53.814] [DEBUG] | o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver | ControllerAdvice beans: 1 @ExceptionHandler, 1 ResponseBodyAdvice
[22:12:55.875] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | Mapped to com.webatoz.backend.interfaces.board.BoardController#getBoards(Pageable, PagedResourcesAssembler)
[22:12:56.127] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Using 'application/hal+json', given [*/*] and supported [application/hal+json, application/json, application/json, application/*+json, application/json, application/*+json]
[22:12:56.129] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Writing [PagedResource { content: [links: [], links: [], links: [], links: [], links: [], links: [], links: [ (truncated)...]
[22:12:56.467] [DEBUG] | o.s.w.c.s.GenericWebApplicationContext | Closing org.springframework.web.context.support.GenericWebApplicationContext@180fa85a, started on Tue Jun 16 22:12:44 KST 2020, parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@80dadbb
[22:19:09.376] [DEBUG] | o.s.web.context.ContextLoader | Published root WebApplicationContext as ServletContext attribute with name [org.springframework.web.context.WebApplicationContext.ROOT]
[22:19:09.386] [INFO ] | o.s.web.context.ContextLoader | Root WebApplicationContext: initialization completed in 2109 ms
[22:19:31.773] [DEBUG] | o.s.web.context.ContextLoader | Published root WebApplicationContext as ServletContext attribute with name [org.springframework.web.context.WebApplicationContext.ROOT]
[22:19:31.773] [INFO ] | o.s.web.context.ContextLoader | Root WebApplicationContext: initialization completed in 2113 ms
[22:19:37.541] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerAdapter | ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
[22:19:37.588] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | 15 mappings in 'requestMappingHandlerMapping'
[22:19:37.628] [DEBUG] | o.s.w.s.h.SimpleUrlHandlerMapping | Patterns [/webjars/**, /**] in 'resourceHandlerMapping'
[22:19:37.639] [DEBUG] | o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver | ControllerAdvice beans: 1 @ExceptionHandler, 1 ResponseBodyAdvice
[22:19:38.923] [INFO ] | o.s.web.servlet.DispatcherServlet | Initializing Servlet 'dispatcherServlet'
[22:19:38.923] [DEBUG] | o.s.web.servlet.DispatcherServlet | Detected StandardServletMultipartResolver
[22:19:38.933] [DEBUG] | o.s.web.servlet.DispatcherServlet | enableLoggingRequestDetails='false': request parameters and headers will be masked to prevent unsafe logging of potentially sensitive data
[22:19:38.933] [INFO ] | o.s.web.servlet.DispatcherServlet | Completed initialization in 10 ms
[22:19:42.275] [DEBUG] | o.s.web.servlet.DispatcherServlet | GET "/boards", parameters={}
[22:19:42.282] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | Mapped to com.webatoz.backend.interfaces.board.BoardController#getBoards(Pageable, PagedResourcesAssembler)
[22:19:42.442] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Using 'application/hal+json', given [*/*] and supported [application/hal+json, application/json, application/json, application/*+json, application/json, application/*+json]
[22:19:42.444] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Writing [PagedResource { content: [links: [], links: [], links: [], links: [], links: [], links: [], links: [ (truncated)...]
[22:19:42.483] [DEBUG] | o.s.web.servlet.DispatcherServlet | Completed 200 OK
[22:33:28.837] [DEBUG] | o.s.w.c.s.GenericWebApplicationContext | Refreshing org.springframework.web.context.support.GenericWebApplicationContext@54380fc6
[22:33:31.387] [WARN ] | o.s.w.c.s.GenericWebApplicationContext | Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'org.springframework.cloud.autoconfigure.RefreshAutoConfiguration$JpaInvokerConfiguration': Invocation of init method failed; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker': Invocation of init method failed; nested exception is org.springframework.boot.context.properties.ConfigurationPropertiesBindException: Error creating bean with name 'webatoz': Could not bind properties to 'Webatoz' : prefix=spring.datasource.webatoz, ignoreInvalidFields=false, ignoreUnknownFields=true; nested exception is org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.datasource.webatoz.password' to java.lang.String
[22:34:18.896] [DEBUG] | o.s.w.c.s.GenericWebApplicationContext | Refreshing org.springframework.web.context.support.GenericWebApplicationContext@43ef04d0
[22:34:29.993] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerAdapter | ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
[22:34:30.128] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | 15 mappings in 'requestMappingHandlerMapping'
[22:34:30.201] [DEBUG] | o.s.w.s.h.SimpleUrlHandlerMapping | Patterns [/webjars/**, /**] in 'resourceHandlerMapping'
[22:34:30.227] [DEBUG] | o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver | ControllerAdvice beans: 1 @ExceptionHandler, 1 ResponseBodyAdvice
[22:34:32.264] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | Mapped to com.webatoz.backend.interfaces.board.BoardController#getBoards(Pageable, PagedResourcesAssembler)
[22:34:32.546] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Using 'application/hal+json', given [application/hal+json] and supported [application/hal+json, application/json, application/json, application/*+json, application/json, application/*+json]
[22:34:32.548] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Writing [PagedResource { content: [links: [], links: [], links: [], links: [], links: [], links: [], links: [ (truncated)...]
[22:34:32.729] [DEBUG] | o.s.w.c.s.GenericWebApplicationContext | Closing org.springframework.web.context.support.GenericWebApplicationContext@43ef04d0, started on Tue Jun 16 22:34:18 KST 2020, parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@4e3c05aa
[22:35:15.738] [DEBUG] | o.s.w.c.s.GenericWebApplicationContext | Refreshing org.springframework.web.context.support.GenericWebApplicationContext@3f81754c
[22:35:24.859] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerAdapter | ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
[22:35:24.968] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | 15 mappings in 'requestMappingHandlerMapping'
[22:35:25.070] [DEBUG] | o.s.w.s.h.SimpleUrlHandlerMapping | Patterns [/webjars/**, /**] in 'resourceHandlerMapping'
[22:35:25.129] [DEBUG] | o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver | ControllerAdvice beans: 1 @ExceptionHandler, 1 ResponseBodyAdvice
[22:35:27.500] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | Mapped to com.webatoz.backend.interfaces.board.BoardController#getBoards(Pageable, PagedResourcesAssembler)
[22:35:27.755] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Using 'application/hal+json', given [application/hal+json] and supported [application/hal+json, application/json, application/json, application/*+json, application/json, application/*+json]
[22:35:27.757] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Writing [PagedResource { content: [links: [], links: [], links: [], links: [], links: [], links: [], links: [ (truncated)...]
[22:35:28.117] [DEBUG] | o.s.w.c.s.GenericWebApplicationContext | Closing org.springframework.web.context.support.GenericWebApplicationContext@3f81754c, started on Tue Jun 16 22:35:15 KST 2020, parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@42b20822
[22:36:06.489] [DEBUG] | o.s.w.c.s.GenericWebApplicationContext | Refreshing org.springframework.web.context.support.GenericWebApplicationContext@5e86cbd7
[22:36:15.704] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerAdapter | ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
[22:36:15.815] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | 15 mappings in 'requestMappingHandlerMapping'
[22:36:15.954] [DEBUG] | o.s.w.s.h.SimpleUrlHandlerMapping | Patterns [/webjars/**, /**] in 'resourceHandlerMapping'
[22:36:15.989] [DEBUG] | o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver | ControllerAdvice beans: 1 @ExceptionHandler, 1 ResponseBodyAdvice
[22:36:18.172] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | Mapped to com.webatoz.backend.interfaces.board.BoardController#getBoards(Pageable, PagedResourcesAssembler)
[22:36:18.419] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Using 'application/hal+json', given [application/hal+json] and supported [application/hal+json, application/json, application/json, application/*+json, application/json, application/*+json]
[22:36:18.421] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Writing [PagedResource { content: [links: [], links: [], links: [], links: [], links: [], links: [], links: [ (truncated)...]
[22:36:18.629] [DEBUG] | o.s.w.c.s.GenericWebApplicationContext | Closing org.springframework.web.context.support.GenericWebApplicationContext@5e86cbd7, started on Tue Jun 16 22:36:06 KST 2020, parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@2d5fc110
[22:36:31.071] [DEBUG] | o.s.web.servlet.DispatcherServlet | GET "/boards/2", parameters={}
[22:36:31.083] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | Mapped to com.webatoz.backend.interfaces.board.BoardController#getBoardLinks(Pageable, PagedResourcesAssembler)
[22:36:31.181] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Using 'application/hal+json', given [*/*] and supported [application/hal+json, application/json, application/json, application/*+json, application/json, application/*+json]
[22:36:31.183] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Writing [PagedResource { content: [Resource { content: com.webatoz.backend.database.webatoz.board.Board@acacf (truncated)...]
[22:36:31.209] [DEBUG] | o.s.web.servlet.DispatcherServlet | Completed 200 OK
[22:37:34.003] [DEBUG] | o.s.w.c.s.GenericWebApplicationContext | Refreshing org.springframework.web.context.support.GenericWebApplicationContext@66beb8dc
[22:37:44.326] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerAdapter | ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
[22:37:44.436] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | 15 mappings in 'requestMappingHandlerMapping'
[22:37:44.546] [DEBUG] | o.s.w.s.h.SimpleUrlHandlerMapping | Patterns [/webjars/**, /**] in 'resourceHandlerMapping'
[22:37:44.573] [DEBUG] | o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver | ControllerAdvice beans: 1 @ExceptionHandler, 1 ResponseBodyAdvice
[22:37:47.070] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | Mapped to com.webatoz.backend.interfaces.board.BoardController#getBoardLinks(Pageable, PagedResourcesAssembler)
[22:37:47.357] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Using 'application/hal+json', given [application/hal+json] and supported [application/hal+json, application/json, application/json, application/*+json, application/json, application/*+json]
[22:37:47.360] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Writing [PagedResource { content: [Resource { content: com.webatoz.backend.database.webatoz.board.Board@acacf (truncated)...]
[22:37:47.570] [DEBUG] | o.s.w.c.s.GenericWebApplicationContext | Closing org.springframework.web.context.support.GenericWebApplicationContext@66beb8dc, started on Tue Jun 16 22:37:34 KST 2020, parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@feebab2
[22:38:16.756] [DEBUG] | o.s.web.servlet.DispatcherServlet | GET "/boards", parameters={}
[22:38:16.757] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | Mapped to com.webatoz.backend.interfaces.board.BoardController#getBoards(Pageable, PagedResourcesAssembler)
[22:38:16.799] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Using 'application/hal+json', given [*/*] and supported [application/hal+json, application/json, application/json, application/*+json, application/json, application/*+json]
[22:38:16.800] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Writing [PagedResource { content: [links: [], links: [], links: [], links: [], links: [], links: [], links: [ (truncated)...]
[22:38:16.805] [DEBUG] | o.s.web.servlet.DispatcherServlet | Completed 200 OK
[22:39:07.289] [DEBUG] | o.s.w.c.s.GenericWebApplicationContext | Refreshing org.springframework.web.context.support.GenericWebApplicationContext@5e86cbd7
[22:39:18.940] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerAdapter | ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
[22:39:19.043] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | 15 mappings in 'requestMappingHandlerMapping'
[22:39:19.152] [DEBUG] | o.s.w.s.h.SimpleUrlHandlerMapping | Patterns [/webjars/**, /**] in 'resourceHandlerMapping'
[22:39:19.173] [DEBUG] | o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver | ControllerAdvice beans: 1 @ExceptionHandler, 1 ResponseBodyAdvice
[22:39:21.669] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | Mapped to com.webatoz.backend.interfaces.board.BoardController#getBoards(Pageable, PagedResourcesAssembler)
[22:39:21.993] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Using 'application/hal+json', given [application/hal+json] and supported [application/hal+json, application/json, application/json, application/*+json, application/json, application/*+json]
[22:39:21.996] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Writing [PagedResource { content: [links: [], links: [], links: [], links: [], links: [], links: [], links: [ (truncated)...]
[22:39:22.193] [DEBUG] | o.s.w.c.s.GenericWebApplicationContext | Closing org.springframework.web.context.support.GenericWebApplicationContext@5e86cbd7, started on Tue Jun 16 22:39:07 KST 2020, parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@2d5fc110
[22:43:26.782] [DEBUG] | o.s.web.context.ContextLoader | Published root WebApplicationContext as ServletContext attribute with name [org.springframework.web.context.WebApplicationContext.ROOT]
[22:43:26.782] [INFO ] | o.s.web.context.ContextLoader | Root WebApplicationContext: initialization completed in 2382 ms
[22:43:33.626] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerAdapter | ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
[22:43:33.678] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | 15 mappings in 'requestMappingHandlerMapping'
[22:43:33.714] [DEBUG] | o.s.w.s.h.SimpleUrlHandlerMapping | Patterns [/webjars/**, /**] in 'resourceHandlerMapping'
[22:43:33.726] [DEBUG] | o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver | ControllerAdvice beans: 1 @ExceptionHandler, 1 ResponseBodyAdvice
[22:43:34.661] [INFO ] | o.s.web.servlet.DispatcherServlet | Initializing Servlet 'dispatcherServlet'
[22:43:34.662] [DEBUG] | o.s.web.servlet.DispatcherServlet | Detected StandardServletMultipartResolver
[22:43:34.690] [DEBUG] | o.s.web.servlet.DispatcherServlet | enableLoggingRequestDetails='false': request parameters and headers will be masked to prevent unsafe logging of potentially sensitive data
[22:43:34.690] [INFO ] | o.s.web.servlet.DispatcherServlet | Completed initialization in 29 ms
[22:43:55.315] [DEBUG] | o.s.web.servlet.DispatcherServlet | GET "/docs/index.html", parameters={}
[22:43:55.323] [DEBUG] | o.s.w.s.h.SimpleUrlHandlerMapping | Mapped to ResourceHttpRequestHandler ["classpath:/META-INF/resources/", "classpath:/resources/", "classpath:/static/", "classpath:/public/", "/"]
[22:43:55.329] [DEBUG] | o.s.w.s.r.ResourceHttpRequestHandler | Resource not found
[22:43:55.330] [DEBUG] | o.s.web.servlet.DispatcherServlet | Completed 404 NOT_FOUND
[22:43:55.337] [DEBUG] | o.s.web.servlet.DispatcherServlet | "ERROR" dispatch for GET "/error", parameters={}
[22:43:55.339] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | Mapped to org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController#errorHtml(HttpServletRequest, HttpServletResponse)
[22:43:55.357] [DEBUG] | o.s.w.s.v.ContentNegotiatingViewResolver | Selected 'text/html' given [text/html, text/html;q=0.8]
[22:43:55.360] [DEBUG] | o.s.web.servlet.DispatcherServlet | Exiting from "ERROR" dispatch, status 404
[22:43:55.402] [DEBUG] | o.s.web.servlet.DispatcherServlet | GET "/favicon.ico", parameters={}
[22:43:55.403] [DEBUG] | o.s.w.s.h.SimpleUrlHandlerMapping | Mapped to ResourceHttpRequestHandler ["classpath:/META-INF/resources/", "classpath:/resources/", "classpath:/static/", "classpath:/public/", "/"]
[22:43:55.408] [DEBUG] | o.s.w.s.r.ResourceHttpRequestHandler | Resource not found
[22:43:55.408] [DEBUG] | o.s.web.servlet.DispatcherServlet | Completed 404 NOT_FOUND
[22:43:55.409] [DEBUG] | o.s.web.servlet.DispatcherServlet | "ERROR" dispatch for GET "/error", parameters={}
[22:43:55.411] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | Mapped to org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController#error(HttpServletRequest)
[22:43:55.424] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Using 'application/json;q=0.8', given [image/webp, image/apng, image/*, */*;q=0.8] and supported [application/json, application/*+json, application/json, application/*+json]
[22:43:55.425] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Writing [{timestamp=Tue Jun 16 22:43:55 KST 2020, status=404, error=Not Found, message=No message available,  (truncated)...]
[22:43:55.441] [DEBUG] | o.s.web.servlet.DispatcherServlet | Exiting from "ERROR" dispatch, status 404
[22:45:05.256] [DEBUG] | o.s.web.servlet.DispatcherServlet | GET "/docs/asciidoc/index.html", parameters={}
[22:45:05.257] [DEBUG] | o.s.w.s.h.SimpleUrlHandlerMapping | Mapped to ResourceHttpRequestHandler ["classpath:/META-INF/resources/", "classpath:/resources/", "classpath:/static/", "classpath:/public/", "/"]
[22:45:05.260] [DEBUG] | o.s.w.s.r.ResourceHttpRequestHandler | Resource not found
[22:45:05.261] [DEBUG] | o.s.web.servlet.DispatcherServlet | Completed 404 NOT_FOUND
[22:45:05.261] [DEBUG] | o.s.web.servlet.DispatcherServlet | "ERROR" dispatch for GET "/error", parameters={}
[22:45:05.262] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | Mapped to org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController#errorHtml(HttpServletRequest, HttpServletResponse)
[22:45:05.269] [DEBUG] | o.s.w.s.v.ContentNegotiatingViewResolver | Selected 'text/html' given [text/html, text/html;q=0.8]
[22:45:05.269] [DEBUG] | o.s.web.servlet.DispatcherServlet | Exiting from "ERROR" dispatch, status 404
[22:45:11.532] [DEBUG] | o.s.web.servlet.DispatcherServlet | GET "/boards", parameters={}
[22:45:11.533] [DEBUG] | o.s.w.s.m.m.a.RequestMappingHandlerMapping | Mapped to com.webatoz.backend.interfaces.board.BoardController#getBoards(Pageable, PagedResourcesAssembler)
[22:45:11.678] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Using 'application/hal+json;q=0.8', given [text/html, application/xhtml+xml, image/webp, image/apng, application/xml;q=0.9, application/signed-exchange;v=b3;q=0.9, */*;q=0.8] and supported [application/hal+json, application/json, application/json, application/*+json, application/json, application/*+json]
[22:45:11.679] [DEBUG] | o.s.w.s.m.m.a.HttpEntityMethodProcessor | Writing [PagedResource { content: [links: [], links: [], links: [], links: [], links: [], links: [], links: [ (truncated)...]
[22:45:11.702] [DEBUG] | o.s.web.servlet.DispatcherServlet | Completed 200 OK
[22:45:39.260] [DEBUG] | o.s.web.servlet.DispatcherServlet | GET "/docs/index.html", parameters={}
[22:45:39.262] [DEBUG] | o.s.w.s.h.SimpleUrlHandlerMapping | Mapped to ResourceHttpRequestHandler ["classpath:/META-INF/resources/", "classpath:/resources/", "classpath:/static/", "classpath:/public/", "/"]
[22:45:39.266] [DEBUG] | o.s.w.s.r.ResourceHttpRequestHandler | Resource not found
[22:45:39.267] [DEBUG] | o.s.web.servlet.DispatcherServlet | Completed 404 NOT_FOUND
